"","Unique_ID","Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp","songs.Genreall.music","songs.Genrealternativerock","songs.Genreambient","songs.Genreclassical","songs.Genrecountry","songs.Genredanceedm","songs.Genredeephouse","songs.Genredisco","songs.Genredrumbass","songs.Genredubstep","songs.Genreelectronic","songs.Genrefolksingersongwriter","songs.Genrehiphoprap","songs.Genreindie","songs.Genrelatin","songs.Genremetal","songs.Genrepop","songs.Genrerbsoul","songs.Genrereggaeton","songs.Genrerock","songs.Genretrap"
"8892",24998,23,22707,3.13549421592915,2506,2150,113537,19,5,2011,4,9,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8894",1372075,733,183449,4.43081679884331,423,2102,50553,5,8,2014,19,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8898",106112,95,97049,4.4188406077966,996,2985,116794,16,10,2012,5,52,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8900",326800,271,15983,3.78418963391826,90,1123,147595,25,9,2018,15,45,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8901",142122,135,5503,3.76120011569356,2348,4197,47142,8,8,2013,12,55,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8907",221225,178,67919,5.42053499927229,763,3010,141507,8,2,2015,19,4,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8913",1424836,761,5399,3.46573590279973,3631,1027,3704,30,1,2018,0,36,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8916",1548580,833,61710,4.12713438504509,5002,5435,82016,14,12,2018,17,21,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8918",1364841,728,445049,5.96100533962327,8647,97,115213,2,6,2016,21,15,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8926",1521522,216,77295,3.93182563272433,959,2125,9479,4,5,2017,21,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8930",907866,531,9815,3.36729582998647,1087,1215,155645,3,1,2012,18,35,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8932",1519950,589,344779,5.51745289646471,1064,852,191199,19,7,2016,19,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8933",1173848,640,96765,3.61091791264422,831,5616,13297,21,1,2016,6,18,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8936",284959,230,68514,4.63472898822964,1507,2139,40202,28,6,2016,20,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8941",496519,371,48297,4.48863636973214,3907,4716,5951,27,1,2019,22,59,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8945",1400248,741,27259,4.23410650459726,5811,4707,66088,9,12,2013,2,27,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8947",1568483,842,30837,3.95124371858143,4840,2168,88927,17,10,2011,9,18,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8949",907820,531,8846,3.58351893845611,1277,1215,155645,5,6,2012,2,56,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8950",125808,119,36943,3.17805383034795,193,1207,29823,23,2,2018,17,25,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8956",1196934,645,19930,5.87773578177964,292,3716,67797,9,11,2016,17,2,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8957",1492783,798,302335,5.57215403217776,8614,569,25879,14,9,2017,0,4,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8959",221146,178,36883,3.13549421592915,505,2226,141507,5,10,2015,12,53,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8960",13947,208,468817,3.2188758248682,1093,4234,131670,4,4,2017,22,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8963",693520,507,8961,3.63758615972639,2524,5074,6529,17,6,2018,16,48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8976",1463817,779,6748,3.8286413964891,3805,1074,14052,16,3,2017,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8978",473107,351,54886,4.90527477843843,868,2972,66412,20,10,2014,9,44,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8984",1499401,801,18829,3.17805383034795,99,1126,53398,20,11,2018,16,2,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8988",234806,181,73991,3.78418963391826,2753,4310,40794,29,8,2017,18,34,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8989",1144644,639,26749,3.95124371858143,245,1211,143726,25,12,2015,11,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8991",292777,153,9886992,6.05678401322862,1109,988,151128,23,1,2016,20,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8994",432947,324,535444,5.48479693349065,8282,608,123385,31,3,2014,21,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8995",221057,178,81378,4.66343909411207,2825,4713,141507,27,5,2016,18,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8999",622269,471,199535,3.63758615972639,2246,4307,20858,21,9,2014,8,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9000",1463820,779,13471,4.39444915467244,7605,2124,14052,2,2,2017,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9001",1060222,581,167161,4.54329478227,2703,4690,21803,24,6,2018,9,12,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9002",65646,15,13629,3.2188758248682,6741,2105,1986,9,10,2018,22,49,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9005",1543080,829,9502,3.36729582998647,2465,2108,52573,7,3,2013,19,35,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9008",1419390,760,70256,4.77068462446567,1615,4216,142334,18,5,2018,15,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9009",684151,501,59857,5.15905529921453,3299,4684,36437,21,5,2018,10,40,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9010",283503,227,279902,4.8283137373023,7389,577,167902,14,10,2015,14,55,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9012",125852,119,99005,4.11087386417331,1470,4322,29823,24,6,2014,18,56,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9019",92384,78,80720,4.12713438504509,2730,3750,157004,15,9,2017,15,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9026",1432184,765,5809,3.76120011569356,1325,5049,76211,2,1,2018,11,51,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9027",525627,408,174322,4.31748811353631,109,1078,185989,12,10,2012,7,14,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9030",175645,171,20958,4.0943445622221,8375,1187,143743,1,4,2015,10,28,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9036",308585,252,489631,5.8664680569333,1127,1975,192024,5,9,2014,17,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9048",237076,183,96045,3.29583686600433,585,1116,66249,15,9,2015,5,46,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9050",958549,551,272048,3.89182029811063,5055,4993,63881,14,2,2016,10,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9056",1519926,589,172870,4.81218435537242,5530,173,191199,3,1,2017,21,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9057",1371982,733,116641,3.43398720448515,2641,1209,50553,5,6,2017,21,57,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9060",125851,119,117122,3.91202300542815,1620,4187,29823,26,8,2014,18,27,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9062",511300,391,195130,5.75257263882563,6500,5695,66749,5,11,2014,21,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9063",972905,558,47063,3.55534806148941,7665,5398,103301,1,1,2017,21,2,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9064",467928,259,3286963,5.04985600724954,6905,4968,170872,16,1,2016,23,9,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9066",1141983,635,35713,5.5834963087817,2302,4617,2876,29,1,2019,18,3,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9069",34462,37,19927,3.49650756146648,5805,4225,17728,14,10,2018,13,27,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9072",1535975,819,234233,4.49980967033027,1071,951,34926,30,3,2018,18,8,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9073",403416,312,17406,3.46573590279973,4912,4182,18055,1,12,2018,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9077",1196939,645,29934,6.20050917404269,821,4325,67797,11,10,2016,20,55,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9082",237135,183,228831,4.15888308335967,2117,2201,66249,30,9,2014,22,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9087",683012,500,421851,6.03548143252476,8750,1246,49169,3,6,2016,16,11,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9088",212739,177,29650,3.17805383034795,7723,1148,29446,8,9,2015,14,14,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9089",1018371,567,43480,4.89034912822175,298,2177,174379,11,7,2016,9,10,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9092",1537402,823,22212,4.24849524204936,7594,1050,8850,6,3,2016,19,51,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9093",314695,264,22656,3.58351893845611,5884,1141,28981,12,5,2016,15,5,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9094",567770,442,57903,4.17438726989564,652,2967,18269,11,11,2015,18,9,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9097",322467,267,303539,4.07753744390572,4304,4712,140061,31,12,2012,23,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9098",321575,266,30217,3.85014760171006,1387,3099,100197,14,12,2018,18,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9106",452736,339,42936,6.35957386867238,880,4687,106971,20,7,2016,14,59,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9107",1073286,591,122403,3.73766961828337,5111,5339,168101,27,9,2017,21,16,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9109",175203,171,12012,3.13549421592915,5946,998,143743,25,8,2017,11,55,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9110",907861,531,11683,3.91202300542815,1205,1215,155645,23,1,2012,18,58,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9115",1568490,842,15562,3.55534806148941,2479,1172,88927,21,3,2011,19,10,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9116",1431868,765,8112,4.57471097850338,4868,1026,76211,3,12,2018,11,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9117",294566,247,19113,3.17805383034795,8396,1143,52808,12,2,2018,10,13,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9120",111240,105,78239,4.51085950651685,1491,4282,113060,24,6,2014,20,39,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9124",1075535,593,66286,4.38202663467388,1575,3678,142088,22,10,2014,14,52,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9126",492779,359,156293,3.61091791264422,4195,3013,6419,4,10,2018,15,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9134",106044,95,115228,4.52178857704904,5040,5673,116794,1,3,2018,18,47,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9143",568736,447,222641,4.20469261939097,3550,2161,134096,6,9,2016,22,48,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9151",1280279,689,155623,3.09104245335832,1913,4276,26847,31,10,2014,20,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9158",123863,115,167210,4.23410650459726,5153,5379,161447,31,7,2015,16,27,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9165",1197046,645,14976,4.92725368515721,8431,2950,67797,29,1,2016,20,51,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9168",1399916,739,322803,3.58351893845611,7146,5036,165467,23,9,2016,1,41,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9172",232982,179,135448,5.38449506278909,8825,828,30037,18,12,2018,18,16,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9176",1322268,713,12738,3.40119738166216,6764,1045,87682,13,4,2018,9,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9177",381959,293,45766,4.75359019110636,351,2124,121113,21,6,2013,18,13,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9179",1403676,747,227263,3.68887945411394,572,1145,127475,17,2,2015,4,6,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9183",942432,14,3973737,6.23441072571837,8444,1311,33386,7,10,2018,21,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9185",1243493,662,13765,3.46573590279973,4731,5605,38858,19,11,2014,11,6,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9186",598517,461,2256109,5.38449506278909,3618,5022,180080,19,10,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9187",1138917,630,63809,3.09104245335832,660,3062,6585,25,10,2017,14,22,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9190",220876,178,264086,5.40717177146012,1103,1483,141507,7,5,2018,16,56,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9191",1229460,649,13426,3.09104245335832,3645,2207,154824,1,2,2012,20,17,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9194",1197056,645,3888,4.81218435537242,2540,5386,67797,20,1,2016,20,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9201",1384105,517,13710,3.13549421592915,8414,1099,468,17,10,2018,18,56,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9202",463716,628,78677,3.78418963391826,904,3007,195064,7,1,2017,4,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9214",691741,505,123761,4.87519732320115,3398,4618,70837,17,3,2014,16,41,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9217",187468,170,22742,3.80666248977032,784,2265,20403,28,9,2018,15,27,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9218",1322742,713,12751,4.65396035015752,4812,1021,87682,27,7,2017,14,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9224",438106,328,114678,4.20469261939097,1975,3753,152245,21,10,2016,15,30,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9232",1101703,613,5039,3.98898404656427,1259,3032,3515,17,6,2017,19,43,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9233",114999,106,89201,5.28320372873799,2750,4670,48663,17,10,2017,18,22,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9241",1262390,671,27116,4.20469261939097,960,3026,10365,1,10,2018,16,56,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9245",1314578,698,404288,5.33753807970132,1134,3882,69665,4,6,2015,17,26,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9247",1250921,666,8311,3.46573590279973,5829,1069,13397,12,6,2017,10,41,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9253",294917,247,28184,4.49980967033027,109,1098,52808,9,9,2013,14,14,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9254",539287,414,10011,4.04305126783455,6925,1005,165268,24,10,2018,12,52,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9257",1059567,579,30476,3.52636052461616,182,2082,26848,23,1,2016,20,55,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9259",294427,247,12985,3.68887945411394,7630,1077,52808,16,1,2019,13,2,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9261",463244,419,45817,4.4188406077966,530,5018,29424,4,2,2017,17,27,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9262",1098276,612,206244,4.38202663467388,2777,4224,26077,22,7,2016,8,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9265",452570,339,45684,6.2803958389602,1948,5056,106971,5,12,2017,18,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9268",564071,436,14882,4.68213122712422,9,5106,19544,19,8,2016,16,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9270",377412,304,38892,4.07753744390572,88,1169,2888,20,10,2018,20,19,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9271",686420,504,50072,3.63758615972639,1596,3043,68165,20,7,2018,4,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9272",24988,23,7412,3.76120011569356,1114,4327,113537,2,2,2012,14,32,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9275",907863,531,47235,3.8286413964891,6801,4653,155645,17,1,2012,18,3,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9280",472448,537,263175,3.04452243772342,4414,5605,764,10,4,2018,12,32,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9290",1173801,640,47573,3.2188758248682,78,4269,13297,1,12,2017,5,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9299",350649,283,89918,3.93182563272433,413,1124,14716,25,4,2016,16,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9304",1007007,565,28813,4.70048036579242,27,1100,49537,15,8,2018,14,59,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9305",433511,325,41261,3.93182563272433,84,2144,23043,19,11,2016,8,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9307",234413,180,57850,3.40119738166216,652,2204,44794,15,9,2015,17,31,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9309",403317,312,144495,4.33073334028633,4547,1145,18055,5,2,2019,2,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9318",1322873,713,6343,3.2188758248682,3606,5049,87682,21,3,2017,8,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9321",287841,236,12858,5.25749537202778,8329,2224,57080,10,3,2017,4,2,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9323",1456674,769,12949,3.58351893845611,2601,1051,17554,1,11,2015,15,26,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9324",81064,63,804754,4.31748811353631,1251,2411,175629,31,3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9331",452716,339,20364,5.4249500174814,83,3102,106971,19,9,2016,13,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9333",1544172,831,322818,3.63758615972639,7008,1190,163326,18,1,2019,5,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9336",1321933,713,4284,4.83628190695148,2415,5616,87682,14,10,2018,10,52,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9340",241889,202,3153,3.93182563272433,8463,3784,6084,8,10,2018,15,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9342",117937,207,1086,3.78418963391826,7575,4664,6283,8,10,2018,3,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9349",142030,135,23587,4.15888308335967,8453,2119,47142,20,10,2015,0,22,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9369",1098281,612,1198909,5.4510384535657,2607,4477,26077,7,4,2016,14,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9371",682962,500,110867,3.71357206670431,2111,4284,49169,26,6,2017,10,33,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9377",1548591,833,57207,4.30406509320417,3084,4305,82016,29,5,2018,17,43,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9389",406103,315,6840997,6.46769872610435,9199,1039,204998,11,8,2014,18,13,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9390",451680,336,92861,4.07753744390572,1674,3063,50442,1,7,2016,9,47,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9391",1393454,84,23763,3.40119738166216,3641,1194,90704,6,2,2012,20,46,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9392",335757,273,69510,4.46590811865458,896,2245,26378,12,12,2014,18,13,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9394",1029390,56,41446,4.31748811353631,67,1182,28069,29,5,2013,13,43,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9400",108456,98,27035,3.3322045101752,657,2954,74245,15,3,2018,16,38,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9406",285428,231,5800,3.73766961828337,2569,4707,323,1,2,2019,19,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9410",1262398,671,39627,4.48863636973214,1955,4746,10365,18,12,2017,17,26,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9417",1499557,801,221937,4.93447393313069,8667,648,53398,1,9,2016,17,40,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9419",972961,558,31960,3.55534806148941,5949,5012,103301,19,9,2016,20,5,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9427",532299,413,37157,3.36729582998647,5799,1006,66237,7,10,2013,20,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9429",567751,442,89077,4.85203026391962,3386,4638,18269,30,10,2017,2,43,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9431",1114382,623,16847,5.04985600724954,478,2160,142456,19,12,2018,21,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9434",907734,531,127369,5.19295685089021,2209,4267,155645,31,1,2013,0,35,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9436",1029375,56,16355,3.2188758248682,5777,1026,28069,2,1,2014,14,55,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9439",1114621,623,16540,3.73766961828337,9093,3014,142456,6,3,2017,15,29,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9442",39055,42,56743,3.71357206670431,903,3670,89886,11,12,2017,18,22,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9446",907879,531,32056,3.78418963391826,2500,1082,155645,19,10,2011,17,40,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9453",148183,142,21963,3.49650756146648,64,2084,6119,29,1,2019,16,59,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9466",175070,171,20378,3.52636052461616,106,1212,143743,12,4,2018,12,11,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9468",955246,550,72969,4.30406509320417,1433,2949,25451,13,2,2014,17,52,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9470",1400223,741,297611,5.39816270151775,1220,2865,66088,1,11,2017,23,44,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9473",81711,64,572081,5.55295958492162,1252,3393,174650,31,12,2015,12,46,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9480",1364833,728,170999,5.89440283426485,4584,843,115213,20,10,2016,20,37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
