"","Unique_ID","Name","Genre","Song_Name","Views","Comments","Likes","Popularity","Followers","Day_Stamp","Month_Stamp","Year_Stamp","Hour_Stamp","Min_Stamp","Sec_Stamp"
"4774",452460,"Hybrid Trap 🔥","trap","DOMI - Zugzwang",35473,5.31320597904179,276,2957,106971,24,9,2018,15,15,7
"4776",233081,"Disciple Round Table","electronic","Definitive - Decibel",45771,3.73766961828337,2212,4683,30037,21,9,2017,18,4,35
"4778",83478,"Back Talk","electronic","Oliver Tree - Movement (Back Talk Remix)",186108,3.04452243772342,1711,1115,4216,26,6,2018,7,31,56
"4783",1361084,"Tasty","electronic","Belzebass - WTF",71559,4.66343909411207,1670,2267,192373,16,4,2015,13,26,38
"4792",1233245,"Rudeejay","danceedm","Rudeejay presents ""BELLA MUSICA DA BALLO 38""",9981,4.26267987704132,1230,1010,57921,3,6,2015,11,45,2
"4795",1079553,"Plasmapool","danceedm","Trampboat - Fresh Off The Boat",14288,3.52636052461616,2442,2228,13007,16,7,2012,11,5,39
"4799",1114442,"Quartzo Records","danceedm","Aiser & Adeno - The Last Time",17946,4.69134788222914,459,2105,142456,6,8,2018,15,45,4
"4802",283985,"Doghouse Radio","alternativerock","DOGHOUSE RADIO #001 (KAYZO LIVE @ EDC LAS VEGAS 2018)",252424,4.57471097850338,1070,514,8642,29,5,2018,18,13,21
"4805",1432167,"trndmsk","deephouse","Sainte Vie - Albatross",34488,3.76120011569356,82,2101,76211,26,1,2018,11,49,36
"4806",617233,"APASHE","electronic","Apashe & Mick Mayor - Sri lanka",11348,3.61091791264422,1337,2066,128747,3,12,2010,21,29,29
"4807",1322485,"Sweet Musique","deephouse","FREE DL : Tanzlife & ID Ensemble - Voyager (DUB Mix) [Connaisseur Recordings]",9528,5.08140436498446,2565,1056,87682,15,12,2017,14,6,11
"4817",1233270,"Rudeejay","danceedm","Rudeejay presents ""bella musica da ballo 20""",5880,4.00733318523247,1048,1010,57921,6,11,2013,12,51,20
"4824",234424,"DISKORDuk","electronic","No Rest For The Wicked [DISKORD Re-Twerk] FREE DOWNLOAD",553218,4.78749174278205,8192,470,44794,18,4,2014,0,5,58
"4827",97896,"Beast Inside Beats - Type Trap/Rap Instrumentals","trap","Free Trap Rap Beat Instrumental (Mike Will Made It Type) 2019 - Beast inside Beats",287407,3.98898404656427,2737,1119,24429,28,4,2015,19,14,27
"4828",1322010,"Sweet Musique","deephouse","Sweet Mixtape #81 : Piemont",3647,3.85014760171006,2504,4664,87682,20,8,2018,12,23,0
"4831",1408472,"Trapeton Tv ✅","trap","MARC ANTHONY FT WILL SMITH & BAD BUNNY - ESTA RICO",2111398,4.99043258677874,3819,4710,7314,23,12,2016,23,44,56
"4834",1143955,"Resident Advisor","ambient","RA.571 Young Marco",71912,4.47733681447821,3108,3717,143726,8,5,2017,9,4,28
"4837",165679,"Deadbeats","dubstep","#045 Deadbeats Radio with Zeds Dead",61560,3.63758615972639,1592,3081,38769,4,5,2018,14,0,16
"4841",1456635,"Twilight Notes","danceedm","Rival - In The Dark (feat. Max Landry) (KAAG & Cirø Remix)",18748,3.93182563272433,6777,1160,17554,24,6,2018,15,7,51
"4842",913613,"Moving Castle","electronic","ELOQ & QRION - Beach 2.0",176219,4.23410650459726,3922,5102,76896,16,3,2015,0,53,58
"4850",314446,"Ensis Records","danceedm","Rino Esposito & Jeremy Prisme - Maasai (OUT NOW)",3983,3.89182029811063,1306,1006,28981,30,4,2018,16,5,50
"4852",97870,"Beast Inside Beats - Type Trap/Rap Instrumentals","trap","Drake Type Beat Instrumental ""Next To Me"" (Beast Inside Beats) 2019",103018,3.87120101090789,416,4312,24429,8,5,2016,19,58,46
"4853",495313,"Jesus Honcho","all-music","International Drip Feat. Yung Tory",178619,3.73766961828337,2850,1143,24002,28,9,2018,15,0,7
"4854",1262394,"Shanghai Doom","electronic","Shanghai Doom - Ambush",25927,3.93182563272433,432,3084,10365,3,4,2018,16,0,9
"4855",1419410,"Tribal Trap","danceedm","Luna & Sarah De Warren - Silver Lines",253906,5.25749537202778,7174,379,142334,26,2,2018,16,1,2
"4856",483498,"Jadū Dala","danceedm","Jadū Magic Mix Series 002 - Son-J",15199,3.17805383034795,6805,1057,23883,30,4,2018,15,2,50
"4862",1364831,"Teminite","danceedm","Teminite & PsoGnar - Lion's Den",199688,5.44673737166631,5528,5667,115213,16,6,2017,19,0,17
"4864",511341,"Kalya Scintilla","electronic","Swaggered",71525,3.36729582998647,6763,4707,66749,27,3,2012,8,4,59
"4872",1452845,"TryHardNinja","electronic","Five Nights At Freddy's 3 Song- Just An Attraction by TryHardNinja",661344,5.75574221358691,7426,3121,40015,14,4,2015,19,7,15
"4875",247562,"DJ TiLô","danceedm","House - Melbournce Bounce - Electro House - DJ TINÔ on the mix",39495,3.13549421592915,6741,4225,59027,1,4,2015,11,18,11
"4878",1466098,"Uprise Music","electronic","XCRPT - Ready",16447,4.00733318523247,8396,5638,53681,28,9,2018,16,16,36
"4879",268314,"DJ PH DA SERRA","rbsoul","MC DANONE - HOJE VAI DA MERDA - DJ PH DA SERRA E DJ STAY - 2K19 -",46391,3.68887945411394,325,1050,85070,20,2,2019,4,19,16
"4880",463781,"R3HAB - I NEED R3HAB","danceedm","R3HAB - I NEED R3HAB 158",88863,4.18965474202643,1526,3077,195064,3,10,2015,6,35,28
"4888",621169,"Liquid Ritual","electronic","Liquid Ritual: Mix Series 012 - MYSTXRIVL & SOKOS",11217,3.29583686600433,4916,5709,9923,1,9,2018,20,35,48
"4896",913552,"Moving Castle","electronic","Mark Johns & BLAISE - Joy",140573,4.24849524204936,4321,5669,76896,19,12,2017,20,10,59
"4901",1007043,"Noisia Radio","drumbass","Noisia Radio S03E49",44430,4.68213122712422,347,1211,49537,6,12,2017,16,0,41
"4907",92400,"Barong Family","danceedm","Bailo & Killkid - Exceso [FREE DOWNLOAD]",93396,4.92725368515721,3329,4674,157004,23,8,2017,16,0,53
"4911",524809,"VINXEN🇰🇷","all-music","6. 탓",1004991,4.54329478227,1130,4674,117246,13,12,2017,12,40,23
"4912",1076219,"PEARL WHITE","electronic","UKEY BLACK REWORK",99977,4.52178857704904,1959,4317,12179,27,8,2014,13,37,0
"4914",897331,"MONTANA of 300","all-music","Montana of 300 x TO3 x J Real - Faneto (Remix)",1666371,4.74493212836325,2336,302,156392,16,4,2015,2,9,39
"4915",110271,"brednbutter","electronic","Formal One - Make It Easy",87702,4.34380542185368,712,2245,70255,26,8,2016,18,21,30
"4919",352700,"Frequent","electronic","Moth Chamber",18701,4.06044301054642,7587,5098,17346,23,3,2017,21,30,11
"4921",1457504,"TWOLOUD","danceedm","Tiesto - Red Lights (twoloud Remix) [PREVIEW]",98819,3.95124371858143,873,3774,60805,26,1,2014,16,7,29
"4929",175385,"DHA AM (Deep House London)","electronic","Premiere: Julian Wassermann - Alpha (Original Mix)",81074,4.60517018598809,2835,4232,143743,30,9,2016,11,14,11
"4932",257262,"DJ GUI MARQUES","rbsoul","MC GW - MEDLEY GOSTOSIN - DJ GUI M@RQUES",699220,3.87120101090789,1192,4643,47883,29,11,2017,23,21,37
"4934",1095113,"Portal do Rap","rock","Pacificadores - Role na City ♪ ♫ Part. Hungria Hip Hop",166944,3.61091791264422,1458,5362,15144,8,5,2015,5,54,9
"4939",281120,"DJ VITIN DO PC OFICIAL - Clique em Seguir","rbsoul","MC DANONE - MOTEL - DJ'S VITIN DO PC E PH DA SERRA = 2K18 = #FODAAAAAA",112295,3.61091791264422,3456,2219,39101,5,11,2018,23,10,6
"4949",182991,"Deep Root Records","electronic","Francis Mercier – Treat Me Like A Lady (feat. Jeanne Naylor)",35875,4.58496747867057,381,3719,86766,5,11,2018,14,18,35
"4952",452574,"Hybrid Trap 🔥","trap","Plain Sight - Tinka",54262,6.23048144757848,1836,5041,106971,27,11,2017,15,55,44
"4954",946867,"My Nu Leng","electronic","Friction - Long Gone Memory (feat. Arlissa) [My Nu Leng Remix] [Elevate Music]",154820,4.71849887129509,4211,7,90538,30,9,2013,15,12,36
"4959",1403797,"Touliver","all-music","3D - Mad World",34497,3.49650756146648,1203,2186,127475,30,8,2011,13,42,36
"4963",973007,"Ninety9Lives","danceedm","Steven Silo - Captain N",70720,3.76120011569356,319,1022,103301,1,7,2016,20,5,39
"4965",1407282,"TRAPCLOUD","latin","Ecko - Bye",367657,3.17805383034795,5629,5074,616,21,9,2018,12,35,43
"4971",406080,"Gryffin","danceedm","Whole Heart (BKAYE Remix)",495933,3.76120011569356,1064,1306,204998,21,10,2016,0,0,0
"4972",1543060,"Yheti","electronic","Fresh",248693,5.42053499927229,8157,741,52573,10,1,2014,17,7,24
"4976",1380017,"Ship Wrek","danceedm","Ship Wrek, Zookeepers, Trauzers - Vessel",453323,4.81218435537242,1095,1827,56092,15,4,2017,15,30,4
"4977",1452762,"TryHardNinja","electronic","Overcome (Overwatch Song)- TryHardNinja",53328,3.13549421592915,7635,4664,40015,12,8,2016,20,56,34
"4979",281124,"DJ VITIN DO PC OFICIAL - Clique em Seguir","rbsoul","MC PKZINHO - BEM TRAJADO = DJ'S VITIN DO PC , CJ PROOD E PH DA SERRA = 2K18 = #FOOODAAAA",107617,3.29583686600433,3508,2199,39101,25,10,2018,3,34,19
"4982",523862,"KiD TRUNKS","all-music","Love Never Blossoms",770502,4.59511985013459,1165,5009,83372,25,5,2018,4,20,2
"4987",567162,"Late June","electronic","In Places",85209,4.4188406077966,1986,4717,22932,27,12,2017,20,0,52
"4994",383646,"Golden Features","electronic","Always",56276,3.43398720448515,762,2177,63704,13,7,2018,0,42,23
"4997",1143902,"Resident Advisor","ambient","RA.592 DJ Minx",13008,3.61091791264422,6765,1031,143726,2,10,2017,9,49,6
"5001",625480,"Lucian","trap","Down The Middle ft. Kid Coyote",501268,5.15329159449778,1036,982,120588,24,8,2016,15,31,35
"5002",174989,"DHA AM (Deep House London)","electronic","Modd - DHL Mix #221",35103,5.42934562895444,883,3121,143743,25,7,2018,10,44,51
"5003",1322360,"Sweet Musique","deephouse","FREE DL : Clawz SG - 6581 (Datametrik Remix) [Inlab Recordings]",8190,5.4971682252932,5851,2119,87682,22,2,2018,17,4,22
"5009",621210,"Liquid Ritual","electronic","MYSTXRIVL x SOKOS - Pixel",129272,4.61512051684126,2960,4991,9923,30,8,2017,18,49,44
"5010",438175,"HEXAGON","deephouse","Don Diablo - Hexagon Radio Episode 050",84081,4.89034912822175,1420,3752,152245,14,1,2016,17,10,11
"5011",1010604,"No Jumper","all-music","The Famous Dex Interview",56858,3.2188758248682,24,2124,104980,19,1,2017,1,39,48
"5013",380682,"Gill Chang","electronic","NGHTMRE - HOLDIN' ON TO ME (gill chang remix)",51069,3.8286413964891,549,3733,63825,7,4,2016,3,58,26
"5017",335793,"Father Funk","electronic","Father Funk - Hands Up (OUT NOW!)",6271,3.09104245335832,9097,5436,26378,24,12,2012,10,27,57
"5025",42012,"Anjunadeep","deephouse","The Anjunadeep Edition 203 with Nuage",47815,4.38202663467388,515,2165,196619,31,5,2018,16,0,7
"5026",452710,"Hybrid Trap 🔥","trap","Evix - Totem",26761,5.47227067367148,264,3690,106971,4,10,2016,15,19,5
"5031",701916,"Midland","electronic","Caribou - Sun (Midland Re Edit) [Free Download]",143351,4.68213122712422,4223,4637,71832,8,10,2010,14,24,38
"5033",134958,"clammyclams","electronic","Kissing on My Syrup [Squadda B]",183113,3.63758615972639,539,2166,152640,23,4,2013,21,10,43
"5035",1229441,"Robot Heart","electronic","Audiofly (Luca) - Robot Heart - Burning Man 2012",37070,4.91265488573605,443,1121,154824,20,12,2012,14,27,2
"5038",467901,"Ella Mai","all-music","Sauce",647282,3.43398720448515,1127,3112,170872,12,10,2018,0,0,0
"5040",1058715,"Ohhh Gawd","trap","Malum - Ohhh Gawd X THEOS.",6736,4.35670882668959,3859,5663,10085,14,7,2016,16,0,4
"5061",452592,"Hybrid Trap 🔥","trap","Papercut x W V C H I N - Fade Away",41007,5.75890177387728,889,4229,106971,11,10,2017,14,18,36
"5063",1537569,"xavierdang","electronic","Ma Vie C'est De La Merde (CHOHOKU MIX)",79426,3.91202300542815,4757,2997,12424,20,10,2016,4,1,19
"5066",321633,"EPHWURD","danceedm","Oliver Heldens & Shaun Frank - Shades Of Grey Ft. Delaney Jane (Ephwurd Remix)",1341354,5.95583736946483,3818,5191,100197,21,9,2015,15,30,36
"5074",1379162,"DON Q","all-music","Yeah Yeah (feat. A Boogie Wit Da Hoodie, 50 Cent and Murda Beatz)",1513933,4.27666611901606,2582,66,31909,10,8,2018,4,0,34
"5077",1236989,"DJ SAMMER","rbsoul","MC GW & MR BIM = AQUECIMENTO DAS XERECAS = DJ SAMMER, DJ GUI MARQUES & DJ LG DO SF",83347,3.17805383034795,1898,1205,12729,22,8,2018,20,54,44
"5079",947973,"Mystical Complex","electronic","Void & Eskimo - Energize (Mystical Complex & Dapanji RMX)",29857,3.55534806148941,671,1126,58140,8,9,2018,20,20,46
"5080",899684,"moogmusicinc","electronic","Little Gift | Eila & Richard Devine",18607,3.61091791264422,5925,3754,11237,9,5,2016,17,51,45
"5081",459618,"idealism","electronic","Wanna Know",229480,3.78418963391826,4276,4295,42262,12,6,2015,18,8,29
"5082",1028309,"Ace Aura","danceedm","Ace Aura - Flow",20603,4.84418708645859,806,4195,6375,10,2,2019,17,0,15
"5084",41895,"Anjunadeep","deephouse","David Hohme & Dustin Nantais - Onward Only",16445,3.25809653802148,7744,1161,196619,18,1,2019,10,0,25
"5090",1322026,"Sweet Musique","deephouse","FREE DL : Pippi Ciez - New Moon (Original Mix)",10293,5.68697535633982,6000,2144,87682,11,8,2018,10,15,22
"5094",525591,"Kill Paris","electronic","Arrival",256843,4.04305126783455,3430,4996,185989,14,4,2015,16,30,9
"5105",568767,"LeagueofLegends","electronic","Let The Games Begin (Hyper Potions Remix)",418646,4.55387689160054,5265,4230,134096,14,1,2016,14,2,28
"5106",681157,"Maxximize On Air","danceedm","Maxximize On Air - Episode #005",15432,3.46573590279973,5909,2082,22248,6,7,2014,18,43,57
"5110",1359248,"SYNESTHESIA","electronic","Voliik - Eclipse",27061,4.52178857704904,222,2987,10877,21,9,2018,14,16,34
"5111",1027785,"REZZ","all-music","REZZ - Cryptic",255576,3.49650756146648,4440,4192,196556,7,10,2016,3,56,15
"5116",438023,"HEXAGON","deephouse","Holl & Rush X Raven & Kreyn - Faith ft. Ryan Konline",110695,3.76120011569356,4280,5691,152245,1,9,2018,16,15,52
"5121",1428112,"Tritonal","danceedm","Tritonia 079",56323,3.89182029811063,452,3699,201030,12,1,2015,15,45,4
"5123",477989,"Jacob","electronic","Jacob & Juiced - Eclipse",40401,4.65396035015752,199,1140,34837,12,8,2013,23,48,42
"5124",531202,"kLL sMTH","electronic","Syzygy",31359,3.04452243772342,6875,1000,22195,11,2,2016,4,2,45
"5127",1540438,"Xinwi III","electronic","Troye Sivan - Dance To This (Official Audio) Ft. Ariana Grande",1222801,4.49980967033027,2399,5343,408,13,6,2018,18,20,14
"5128",108488,"BLEEP BLOOP","electronic","Bleep Bloop & Zeke Beats - Mars Attacks [Nest HQ Premiere]",305236,5.25227342804663,1096,1539,74245,31,3,2015,17,49,34
"5139",452684,"Hybrid Trap 🔥","trap","Furo - Bust Dem Up",36671,5.74620319054015,601,3767,106971,25,11,2016,14,41,54
"5143",1031828,"officialb2s","danceedm","The Geminizers @ Loudness 05.03.2016",19825,3.04452243772342,5955,1004,64073,3,5,2016,11,9,45
"5153",65039,"Ar'mon And Trey","all-music","Bags Right",142512,3.09104245335832,3397,1000,96285,16,3,2018,0,0,0
"5157",41898,"Anjunadeep","deephouse","Tim Engelhardt & Lazarusman - This Life",17556,3.3322045101752,7590,1100,196619,18,1,2019,10,0,25
"5168",1528498,"DAVE EAST","all-music","Maneuver (feat. French Montana)",919452,3.25809653802148,1191,76,150319,18,8,2017,0,0,0
"5171",1314583,"Stickybuds~","drumbass","Mr. Bill & Stickybuds - Hard, But Fair (Free DL!)",69093,4.82028156560504,614,2184,69665,22,10,2013,20,20,39
"5172",458841,"Elephante","danceedm","Stephen - Crossfire (Elephante Remix)",339290,5.15905529921453,6536,358,151500,22,6,2016,15,5,7
"5173",1414193,"Trap Music HD","trap","Hallelujah - Pentatonix (Osias Remix)",443585,4.79579054559674,5339,3012,176760,20,12,2016,18,58,5
"5174",250152,"DJ ANDERSON DO PARAÍSO","rbsoul","MC PAULIN DO G = = ISSO MEXEU COMIGO [[DJ ANDERSON DO PARAÍSO]] #TALIBAN",75377,3.98898404656427,1698,2224,51377,27,11,2018,21,46,58
"5175",1499381,"Wakaan","dubstep","PEEKABOO, G-REX - Babatunde (LUZCID Remix) [YourEDM.Com Premiere]",33069,3.71357206670431,2004,3750,53398,24,1,2019,16,53,47
"5183",103699,"bitbird","electronic","ILIVEHERE. - Different To You ft. Ayelle",83815,3.61091791264422,1746,3724,201165,5,10,2017,15,22,6
"5187",381960,"G JONES","electronic","EYES (clip) OUT NOW ON ROBOX NEOTECH",16116,3.93182563272433,3612,3016,121113,2,4,2013,18,0,34
"5192",105711,"bitbird radio","electronic","San Holo presents: bitbird Radio #026 w/ Sem",23520,3.8286413964891,8338,1031,11057,5,11,2018,17,0,37
"5203",483535,"Jadū Dala","danceedm","Lvndo & DJ A.M.G. - Joga (JADŪ056)",20764,4.07753744390572,7698,1206,23883,12,7,2017,19,16,27
"5231",314838,"Ensis Records","danceedm","Ruby & Tony - Selena (OUT NOW)[Ensis Records]",9313,3.13549421592915,4972,2078,28981,9,4,2015,14,45,40
"5234",1059571,"OLIVERSE","electronic","WORMHOLES",36223,3.52636052461616,415,2147,26848,18,11,2015,19,50,10
"5236",403504,"GR6 FLUXOS","rbsoul","MC Neguinho do Kaxeta e MC Janjão do K - Riqueza Pra Coroa [DJay W]",2526449,5.03043792139244,5813,5333,18055,12,8,2018,21,53,28
"5237",496527,"Jkyl & Hyde","electronic","Jkyl & Hyde - 1946",13400,3.52636052461616,9032,1211,5951,20,12,2017,16,53,32
"5252",1272172,"six impala","danceedm","SCRIPT - juhong",23780,3.97029191355212,9203,1094,5365,17,10,2017,17,39,50
"5254",381163,"Giorgia Angiuli","electronic","Giorgia Angiuli - Axial Tilt [Stil Vor Talent]",57251,3.3322045101752,726,2200,45656,12,6,2017,17,5,42
"5259",327427,"FACT","electronic","Last Japan - Harca (Tom E Vercetti Remix)",45959,3.8286413964891,534,2176,147595,30,1,2015,14,56,3
"5261",1466276,"Uprise Music","electronic","NuAlias - Ivory (Original Mix)",54437,4.07753744390572,732,4672,53681,13,4,2015,15,10,22
"5262",653405,"ALLMusic","rock","Linkin Park - In The End",2030097,4.52178857704904,3651,5626,248,27,9,2013,15,21,29
"5266",92450,"Barong Family","danceedm","Juyen Sebulba - Tongue Roll [FREE DOWNLOAD]",88101,4.18965474202643,2777,4189,157004,19,1,2017,16,0,20
"5270",624787,"ʟᴜᴄᴀ ʟᴜsʜ","danceedm","LUCA LUSH - SHVKE",109694,3.85014760171006,2789,5056,132753,16,9,2015,21,37,21
"5271",432955,"Haywyre","pop","Erroll G. - Misty (Haywyre Piano Cover) [ASPW#9] {FREE DL}",397731,5.48063892334199,7368,486,123385,2,8,2013,21,3,51
"5277",221197,"Disciple ♛ ♜ ♞","dubstep","Barely Alive - Shudder Ft. Coppa (Joe Ford Remix)",41282,4.07753744390572,9049,1139,141507,6,5,2015,14,39,25
"5278",1196955,"Riddim Network","danceedm","GRYLLA - CHANCES (Riddim Network Exclusive) Free Download",8791,5.06890420222023,5949,1212,67797,18,8,2016,13,27,51
"5281",1360069,"T-Mass","trap","Up In Flumes",267901,4.60517018598809,5152,58,181298,17,12,2014,18,58,26
"5283",5092,"4i20","electronic","4i20 & Dreamvibes - Breakdown (Original Mix)",115188,5.0998664278242,2752,3095,101468,4,9,2018,6,38,37
"5290",1196871,"Riddim Network","danceedm","Detrace - RIDDIM NETWORK MIX",95101,5.56068163101553,4685,29,67797,1,12,2017,18,58,3
"5294",1114754,"Quartzo Records","danceedm","Kubski & Zoyo - KUYO (FREE DOWNLOAD!)",3271,4.02535169073515,1056,1010,142456,16,9,2015,23,9,35
"5295",1380621,"The Upbeats","electronic","Prism (OUT NOW)",76289,4.4188406077966,2013,3687,83052,10,2,2017,18,39,54
"5296",1322938,"Sweet Musique","deephouse","FREE DOWNLOAD : SHMN - Persephone",8864,5.17048399503815,3809,1029,87682,16,1,2017,12,54,56
"5302",337822,"FESTIVAL TRAP","danceedm","Gianka & BAAS- KUSH (Festival Trap Exclusive)",9178,4.39444915467244,4863,1054,11675,20,11,2017,23,43,4
"5308",1477942,"Dj Nev Remixes & Edits 2.0","electronic","Maikel Delacalle - Replay (Dj Nev Rmx) Copyright",16291,6.51025834052315,6849,4219,11347,10,10,2018,18,37,54
"5311",1059569,"OLIVERSE","electronic","PIZZA POWER",19242,3.49650756146648,8409,1140,26848,20,11,2015,19,20,42
"5324",103746,"bitbird","electronic","Vic Alexis - In Touch",153377,4.23410650459726,4075,5086,201165,21,2,2017,17,0,8
"5341",335768,"Father Funk","electronic","Bobby McFerrin - Don't Worry Be Happy (Father Funk Remix) [FREE DOWNLOAD]",217105,4.84418708645859,2261,3722,26378,3,7,2014,18,14,59
"5342",287692,"Drop Central 💧","electronic","Kryo - Vortex",25688,5.59842195899838,468,3098,57080,16,11,2018,4,15,27
"5344",1144106,"Resident Advisor","ambient","RA Live 2016.5.14 - Ata VS Gerd Janson - Part 1, RA In Residence, Robert Johnson, Offenbach",29503,4.70953020131233,434,1188,143726,27,5,2016,13,10,53
"5346",499458,"Johnny singer 81","all-music","ليه السكوت ؟ - جوني",115317,3.49650756146648,1608,3671,23501,9,11,2014,10,48,32
"5347",1419357,"Tribal Trap","danceedm","Besomorph - Numb (ft. Stephen Geisler)",56452,3.93182563272433,1363,3686,142334,3,9,2018,14,58,18
"5352",1111820,"PSYQUI","electronic","Your voice so... feat. Such",192168,4.21950770517611,4037,2159,9263,18,3,2017,12,10,24
"5368",1173796,"RetroSpecter","electronic","Cuphead - One Hell of a Time Remix [RetroSpecter]",72353,3.55534806148941,384,4640,13297,22,12,2017,21,1,39
"5369",115020,"brothel.","electronic","SUVIDA w/CLEMENT!NO",158141,4.86753445045558,3508,4669,48663,18,1,2016,17,0,21
"5375",1274062,"Skinnyfromthe9","all-music","Too Fast ft. Fetty Wap",683263,5.23110861685459,1102,4306,57297,30,11,2018,5,2,1
"5376",1314586,"Stickybuds~","drumbass","Deekline & Ed Solo Ft. Top Cat - Bad Boyz (Ed Solo & Stickybuds Remix)",179898,4.71849887129509,3176,3761,69665,27,8,2013,8,45,56
"5377",1454934,"tsuruda","electronic","Right Now (OUT NOW)",41543,3.25809653802148,7741,1026,59968,21,6,2017,10,47,46
"5379",96567,"Bass Santana","all-music","e-PILL 💊 (vibe off a pill) | prod. by bass santana",115249,3.55534806148941,3038,3678,19347,9,2,2018,16,8,20
"5383",501732,"Jon Z ✅","all-music","Jon.Z ❌ Miky Woodz 🦋 BUTTERFLY EFFECT (SPANISH VERSION)",2352411,3.71357206670431,4923,232,89084,15,9,2017,0,6,47
"5388",548160,"KondZilla Records","rbsoul","MC Menor MR - Sonho de um favelado",4274090,4.23410650459726,8471,465,102173,31,1,2018,14,27,45
"5393",617178,"APASHE","electronic","Apashe - Majesty (ft. Wasiu)",358690,5.03695260241363,8564,128,128747,23,2,2018,15,46,17
"5395",1492795,"vowl.","electronic","caress",82173,4.91265488573605,1985,4303,25879,5,11,2016,22,0,18
"5396",1061055,"OneyMusic","electronic","Jontron - Starcade Finale",41732,3.89182029811063,7704,5012,48781,15,12,2015,19,19,26
"5399",119419,"CALCIUM","electronic","CALCIUM PRESENTS: TEETH N' BONES VOLUME ONE (TRACKLIST IN DESC.)",64777,4.69134788222914,3177,4303,12890,15,2,2018,1,20,12
"5400",469816,"PLAYBOX","danceedm","Zack Edward & Adam Marcos - Closer | OUT NOW",33074,3.2188758248682,7587,1126,16200,7,3,2016,13,26,19
"5406",1032436,"officialb2s","danceedm","Team Green @ Hard Bass: Exploration",32540,3.66356164612965,9103,2100,64073,2,2,2014,2,15,35
"5407",1028310,"Ace Aura","danceedm","Chime - Whirlwind (Ace Aura Remix)",10405,4.47733681447821,9049,1182,6375,1,2,2019,16,0,25
"5408",1032329,"officialb2s","danceedm","Darkraver, Paul Elstak and Korsakoff @ Pussy lounge Tomorrowland",180222,4.11087386417331,4263,3061,64073,21,8,2014,8,16,1
"5415",1432454,"trndmsk","deephouse","Fernando Varela - Vivere (Dragonman Remix)",184944,4.84418708645859,7661,1191,76211,18,2,2016,19,19,12
"5421",1085871,"pluffaduff","rock","tfw you contract ligma but it's september",23276,3.40119738166216,40,1004,2438,5,9,2018,7,26,21
"5430",294525,"EATBRAIN","drumbass","EATBRAIN Podcast 066 by Jade",38638,4.39444915467244,574,2176,52808,7,5,2018,13,3,37
"5431",250225,"DJ ANDERSON DO PARAÍSO","rbsoul","MTG = = CONFESSA PIRANHA, FALA QUE TU QUER PAU [[DJ ANDERSON DO PARAÍSO]] #22MUSIC",202487,3.63758615972639,5037,3735,51377,1,4,2017,20,37,43
"5434",568901,"LeagueofLegends","electronic","Rengar, the Pridestalker",305305,4.94875989037817,343,1057,134096,13,9,2012,18,4,38
"5435",1114421,"Quartzo Records","danceedm","Sheco & Cesar Mannix - Alarm",19862,5.06259503302697,472,2147,142456,3,10,2018,16,30,9
"5442",1078045,"PHORA","all-music","Phora - Stick Em Up ft. Eskupe",326936,4.30406509320417,3504,4194,177856,17,5,2014,23,8,18
"5443",448397,"HOME","electronic","Native",221728,3.55534806148941,2018,1187,82619,2,7,2014,2,25,48
"5444",287753,"Drop Central 💧","electronic","Avidance - Fate",13714,4.43081679884331,6737,1119,57080,10,2,2018,15,54,33
"5446",1536252,"WORLDSTARHIPHOP","all-music","BLAKE - Headfirst",288131,3.04452243772342,4978,1140,7596,29,7,2018,20,34,54
"5447",972692,"Ninety9Lives","danceedm","Sebastian Alm - You",2814,3.29583686600433,1056,1128,103301,1,1,2019,20,53,53
"5456",1229283,"Robot Heart","electronic","Carl Cox B2B Joseph Capriati - Robot Heart Burning Man 2018",120514,5.41610040220442,8748,404,154824,27,9,2018,15,59,9
"5459",1078076,"PHORA","all-music","Phora - Gotta Move On (Prod. by Anthro)",1360648,5.09375020080676,1227,540,177856,6,6,2012,4,47,16
"5461",1108349,"Protocol Recordings","danceedm","Tom Tyger & Simon Alex - Axe // OUT NOW",45054,4.06044301054642,36,2078,166617,21,2,2016,18,52,52
"5462",253496,"DJ Blyatman","danceedm","DJ Blyatman - Predator",17074,3.13549421592915,4770,3051,15821,16,10,2018,10,52,33
"5463",237180,"dj-Jo","danceedm","Ghirahim's Theme Dubstep Remastered",36103,3.17805383034795,6834,4731,66249,11,6,2013,15,38,36
"5466",1431941,"trndmsk","deephouse","Kapoor & Indygo - Amazonia",8332,4.39444915467244,5975,1078,76211,24,9,2018,15,45,9
"5470",973169,"Ninety9Lives","danceedm","Subtact - Rapture",122641,4.06044301054642,3476,1225,103301,26,9,2015,23,52,22
"5477",1010486,"No Jumper","all-music","The Woah Vicky Interview",42614,3.04452243772342,1149,1059,104980,16,4,2018,22,7,25
"5481",1431917,"trndmsk","deephouse","trndmsk Podcast #50 - unders",18266,4.67282883446191,108,2119,76211,19,10,2018,16,58,36
"5486",509298,"Justice Skolnik","electronic","Miss You",289207,4.69134788222914,7905,1359,16535,3,11,2016,18,11,14
"5494",287748,"Drop Central 💧","electronic","Sender & Raja Luth Hasan - Biohazard",44524,5.46383180502561,1574,3084,57080,8,3,2018,15,26,12
"5495",1466261,"Uprise Music","electronic","1DAFUL X Dirty Doses - Let It Spray (Original Mix)",316431,4.84418708645859,8730,1839,53681,9,9,2015,5,32,15
